date,open,high,low,close,volume,date_unix
2014-10-15,395.04332,400.30913,385.47712,400.30913,11.22832406,1413331200
2014-10-16,398.38752,398.38752,374.61003,389.14365,16.08419864,1413417600
2014-10-17,385.8576,385.8576,376.73067,381.0105,0.05216063,1413504000
2014-10-18,371.00373,395.79193,371.00373,395.79193,0.95977536,1413590400
2014-10-20,391.24176,391.24176,391.24176,391.24176,0.05,1413763200
2014-10-21,390.57523,391.58111,371.00001,391.58111,10.23525506,1413849600
2014-10-22,391.58111,393.49234,371.37843,388.70532,2.34818827,1413936000
2014-10-23,374.0,374.0,365.0,368.63955,11.95253549,1414022400
2014-10-24,368.36564,373.69072,355.0,373.34819,7.60272215,1414108800
2014-10-25,363.00001,363.00001,355.0,359.51172,7.81320053,1414195200
2014-10-26,360.0,384.71905,360.0,362.5,6.12094841,1414281600
2014-10-27,368.15412,368.15412,364.3,364.3,0.04323896,1414368000
2014-10-28,352.01024,365.12521,352.01024,365.12521,0.58976373,1414454400
2014-10-29,350.00001,350.00001,335.00987,335.06565,8.87321215,1414540800
2014-10-30,335.00167,350.0,335.0,346.02084,7.56041171,1414627200
2014-10-31,344.29,347.95,344.29,347.95,0.03559,1414713600
2014-11-01,340.09209,340.15346,320.00001,320.00001,5.66358534,1414800000
